"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval"
"prot-a-1996","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase || id:prot-a-1996","Wald ratio",1,0.082003590234562,0.052237434179033,0.116456007394027
"prot-a-2378","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Protein arginine N-methyltransferase 3 || id:prot-a-2378","Wald ratio",1,0.044696259916887,0.124823762750283,0.720287240962797
"prot-a-2428","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Prostaglandin reductase 1 || id:prot-a-2428","Wald ratio",1,0.0952403623108362,0.0730048602673147,0.192037387606674
"prot-a-2250","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Peroxisomal targeting signal 1 receptor || id:prot-a-2250","Wald ratio",1,-0.0266425061425061,0.111993243243243,0.81196340943397
"prot-a-2388","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Transmembrane gamma-carboxyglutamic acid protein 1 || id:prot-a-2388","Wald ratio",1,0.0698062330623306,0.090209756097561,0.439036459446559
"prot-a-2096","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Pro-neuregulin-2, membrane-bound isoform || id:prot-a-2096","Wald ratio",1,0.034050901378579,0.114284199363733,0.765741831876775
"prot-a-2358","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","PR domain zinc finger protein 4 || id:prot-a-2358","Inverse variance weighted",2,0.0865133308508925,0.083798289171727,0.301884899862608
"prot-a-2021","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1 || id:prot-a-2021","Inverse variance weighted",2,-0.0891939310890233,0.0969579143674565,0.357612375489305
"prot-a-232","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Brevican core protein || id:prot-a-232","Wald ratio",1,0.0602900197628458,0.0842386363636364,0.474173474958616
"prot-a-2103","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Neurexin-1 || id:prot-a-2103","Inverse variance weighted",2,-0.0643048599898782,0.0569373158172501,0.258730202925055
"prot-a-2391","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Brain-specific serine protease 4 || id:prot-a-2391","Inverse variance weighted",2,-0.0145828808637494,0.0596660084539563,0.806914443270828
"prot-a-205","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Aurora kinase B || id:prot-a-205","Inverse variance weighted",3,0.0147292587480637,0.0597831594727623,0.805389589788365
"prot-a-214","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6 || id:prot-a-214","Wald ratio",1,-0.134594944912508,0.107690861957226,0.211362757586804
"prot-a-2108","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating || id:prot-a-2108","Wald ratio",1,0.0215941727367326,0.0518322060353798,0.676958649638
"prot-a-2106","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Neurexin-3-beta || id:prot-a-2106","Wald ratio",1,0.19763497743893,0.10708199782169,0.0649442787675523
"prot-a-2251","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Platelet factor 4 variant || id:prot-a-2251","Wald ratio",1,-0.0152458983188171,0.0376295321045169,0.68536152468147
"prot-a-2010","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Nucleolin || id:prot-a-2010","Wald ratio",1,0.154039419087137,0.0872676348547718,0.0775405743308628
"prot-a-2087","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Oxysterols receptor LXR-beta || id:prot-a-2087","Inverse variance weighted",3,0.0136490239730964,0.0439075066354619,0.755908154451223
"prot-a-2301","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Angiostatin || id:prot-a-2301","Inverse variance weighted",3,0.00349951106692559,0.0484745141472996,0.942448472332482
"prot-a-2374","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","cGMP-dependent protein kinase 1, beta isozyme || id:prot-a-2374","Inverse variance weighted",2,0.0288290897244052,0.0683953079772825,0.673385021953516
"prot-a-211","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 || id:prot-a-211","Wald ratio",1,0.0359605055292259,0.117088994207478,0.758751166442313
"prot-a-2006","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Neural cell adhesion molecule 1, 120 kDa isoform || id:prot-a-2006","Inverse variance weighted",3,-0.17109949149369,0.0804352289882064,0.0334058725661154
"prot-a-2289","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Group IIE secretory phospholipase A2 || id:prot-a-2289","Wald ratio",1,-0.188279529663282,0.111529128808124,0.0913796321877037
"prot-a-224","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Bcl2-associated agonist of cell death || id:prot-a-224","Wald ratio",1,-0.0619155581260844,0.118175245806825,0.600327218581387
"prot-a-2359","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Peroxiredoxin-1 || id:prot-a-2359","Wald ratio",1,0.100456594323873,0.123072203672788,0.414362238407124
"prot-a-2133","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Neurexophilin-3 || id:prot-a-2133","Wald ratio",1,0.144491009681881,0.108419087136929,0.182627571505786
"prot-a-2398","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","PH and SEC7 domain-containing protein 1 || id:prot-a-2398","Inverse variance weighted",3,-0.122692803241095,0.0764460893173219,0.108502931025405
"prot-a-2166","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Platelet-activating factor acetylhydrolase IB subunit beta || id:prot-a-2166","Inverse variance weighted",3,0.104674616755193,0.0556132031340203,0.0598102181711619
"prot-a-2248","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Pescadillo homolog || id:prot-a-2248","Wald ratio",1,0.288890064667842,0.251508524397413,0.250708862845695
"prot-a-2352","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Pancreatic hormone || id:prot-a-2352","Inverse variance weighted",2,-0.0876743484874704,0.128021840875521,0.493445527112973
"prot-a-2069","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Protein NOV homolog || id:prot-a-2069","Wald ratio",1,0.160373621103118,0.0973510791366906,0.0994812288920026
"prot-a-2377","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Prolactin receptor || id:prot-a-2377","Wald ratio",1,0.0331984304932735,0.0910717488789238,0.715461899750975
"prot-a-2128","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Nucleoside diphosphate-linked moiety X motif 8, mitochondrial || id:prot-a-2128","Wald ratio",1,0.0781606841216216,0.0754130067567568,0.29999922139211
"prot-a-2112","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","5'(3')-deoxyribonucleotidase, cytosolic type || id:prot-a-2112","Wald ratio",1,0.0976930535263647,0.0655850710585735,0.136339343941549
"prot-a-2408","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Pregnancy-specific beta-1-glycoprotein 9 || id:prot-a-2408","Wald ratio",1,0.0618492359932088,0.0985972835314092,0.530468186714123
"prot-a-2093","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Nuclear receptor-binding protein || id:prot-a-2093","Wald ratio",1,-0.0150321384425216,0.0593825710754017,0.800159582055348
"prot-a-2356","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Lysosomal Pro-X carboxypeptidase || id:prot-a-2356","Inverse variance weighted",3,0.00439864289194724,0.0484057929566864,0.927595748775655
"prot-a-2258","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Phosphoglucomutase-1 || id:prot-a-2258","Inverse variance weighted",2,-0.0604444201554218,0.0613581280046952,0.324570724866882
"prot-a-2100","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Neuropilin-2 || id:prot-a-2100","Inverse variance weighted",2,-0.0734753156870655,0.0916674242727635,0.422817781147314
"prot-a-2277","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Pirin || id:prot-a-2277","Inverse variance weighted",2,-0.0235388055818912,0.0271567560133933,0.386065133226257
"prot-a-213","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2 || id:prot-a-213","Inverse variance weighted",3,0.0371524526661048,0.0300376324883531,0.216137745230471
"prot-a-2019","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Protein NDNF || id:prot-a-2019","Wald ratio",1,0.00128562176165803,0.107288212435233,0.990439273957178
"prot-a-234","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Breast cancer anti-estrogen resistance protein 3 || id:prot-a-234","Wald ratio",1,0.069247341913822,0.0392305540011192,0.0775405743308628
"prot-a-243","ebi-a-GCST90091033","Nonalcoholic fatty liver disease || id:ebi-a-GCST90091033","Transcription factor TFIIIB component B'' homolog || id:prot-a-243","Wald ratio",1,0.0913320996792499,0.0881213915618061,0.29999922139211
