"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","protein_id","protein_name"
"prot-a-201","R12_amyloidosis","R12_E4_AMYLNAS","Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 || id:prot-a-201","Simple mode",3,-0.194154910606913,0.304012798157322,0.588432820351705,"prot-a-201","Sarcoplasmic/endoplasmic reticulum calcium ATPase 3"
"prot-a-201","R12_amyloidosis","R12_E4_AMYLNAS","Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 || id:prot-a-201","Weighted mode",3,-0.188156502407517,0.335686381375553,0.631542457379697,"prot-a-201","Sarcoplasmic/endoplasmic reticulum calcium ATPase 3"
"prot-a-235","R12_amyloidosis","R12_E4_AMYLNAS","B-cell lymphoma/leukemia 10 || id:prot-a-235","Inverse variance weighted",2,-0.198981805208782,0.161331381670894,0.217436552726059,"prot-a-235","B-cell lymphoma/leukemia 10"
"prot-a-238","R12_amyloidosis","R12_E4_AMYLNAS","Bcl-2-like protein 1 || id:prot-a-238","Inverse variance weighted",2,0.0925038458770394,0.173053669318217,0.592969031931012,"prot-a-238","Bcl-2-like protein 1"
"prot-a-2099","R12_amyloidosis","R12_E4_AMYLNAS","Neuropilin-1 || id:prot-a-2099","Inverse variance weighted",2,-0.0328695265048999,0.18294177676956,0.857410026712272,"prot-a-2099","Neuropilin-1"
"prot-a-2226","R12_amyloidosis","R12_E4_AMYLNAS","Platelet-derived growth factor subunit B || id:prot-a-2226","Inverse variance weighted",2,0.105984542111284,0.327732927810897,0.74640223414967,"prot-a-2226","Platelet-derived growth factor subunit B"
"prot-a-2028","R12_amyloidosis","R12_E4_AMYLNAS","Neuronal growth regulator 1 || id:prot-a-2028","Wald ratio",1,-0.32226701183432,0.445576183431953,0.469520739745923,"prot-a-2028","Neuronal growth regulator 1"
"prot-a-2279","R12_amyloidosis","R12_E4_AMYLNAS","Phosphatidylinositol transfer protein beta isoform || id:prot-a-2279","Wald ratio",1,0.13133794056669,0.25454273208938,0.605871172114061,"prot-a-2279","Phosphatidylinositol transfer protein beta isoform"
"prot-a-2221","R12_amyloidosis","R12_E4_AMYLNAS","cAMP-specific 3',5'-cyclic phosphodiesterase 4D || id:prot-a-2221","Wald ratio",1,-0.00983661451542808,0.171844632768362,0.954352959324903,"prot-a-2221","cAMP-specific 3',5'-cyclic phosphodiesterase 4D"
"prot-a-237","R12_amyloidosis","R12_E4_AMYLNAS","Bcl-2-related protein A1 || id:prot-a-237","Wald ratio",1,0.629234870317003,0.43328674351585,0.146435827207206,"prot-a-237","Bcl-2-related protein A1"
